TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);Μήνας
12/08/2025 07:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.21;2025-08
12/08/2025 07:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.524;2025-08
12/08/2025 07:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.846;2025-08
12/08/2025 07:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;1.367;2025-08
12/08/2025 08:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;2.204;2025-08
12/08/2025 08:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;3.346;2025-08
12/08/2025 08:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;4.732;2025-08
12/08/2025 08:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;6.148;2025-08
12/08/2025 09:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.837;2025-08
12/08/2025 09:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
12/08/2025 09:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
12/08/2025 09:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
12/08/2025 10:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
12/08/2025 10:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
12/08/2025 10:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
12/08/2025 10:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.004;2025-08
12/08/2025 11:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 11:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 11:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 11:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 12:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 12:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 12:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 12:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 13:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 13:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.003;2025-08
12/08/2025 13:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.002;2025-08
12/08/2025 13:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.002;2025-08
12/08/2025 14:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.002;2025-08
12/08/2025 14:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.002;2025-08
12/08/2025 14:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.001;2025-08
12/08/2025 14:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.001;2025-08
12/08/2025 15:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.001;2025-08
12/08/2025 15:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.001;2025-08
12/08/2025 15:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.001;2025-08
12/08/2025 15:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.001;2025-08
12/08/2025 16:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;0.001;2025-08
12/08/2025 16:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;4.673;2025-08
12/08/2025 16:30;GREEN_VALUE_BZ01_NDR_MS_N;25817;16.769;2025-08
12/08/2025 16:45;GREEN_VALUE_BZ01_NDR_MS_N;25817;15.764;2025-08
12/08/2025 17:00;GREEN_VALUE_BZ01_NDR_MS_N;25817;14.533;2025-08
12/08/2025 17:15;GREEN_VALUE_BZ01_NDR_MS_N;25817;13.357;2025-08
